gene,rpkm_normal,rpkm_tumoral,chromosome,p_or_q,locus
XRN2|22803_calculated,25.8576,30.9385,20,p,11.2-
NINL|22981_calculated,2.422,1.9928,20,p,11.22-
ACSS1|84532_calculated,11.3413,14.2628,20,p,11.23-
NXT1|29107_calculated,15.0285,22.7502,20,p,12-
SNAP25|6616_calculated,5.2768,1.4872,20,p,12-
JAG1|182_calculated,16.871,20.8257,20,p,12.1-
OTOR|56914_calculated,0.0064,0.0049,20,p,12.1-
NAPB|63908_calculated,3.3288,2.6929,20,p,12.3-
PCNA|5111_calculated,37.1379,81.661,20,p,13-
CRLS1|54675_calculated,10.9209,15.4235,20,p,13-
ZCCHC3|85364_calculated,9.55,12.117,20,p,13-
TRIB3|57761_calculated,3.4768,14.4,20,p,13-
GFRA4|64096_calculated,0.1887,0.0175,20,p,13-
DSTN|11034_calculated,503.3793,181.0158,20,p,
CST3|1471_calculated,265.2587,275.1768,20,p,
FKBP1A|2280_calculated,98.507,131.8554,20,p,
PRNP|5621_calculated,88.3778,33.8521,20,p,
PYGB|5834_calculated,81.6859,77.5443,20,p,
RRBP1|6238_calculated,66.0358,96.0727,20,p,
CST1|1469_calculated,62.2723,155.067,20,p,
PCNA-AS1|100302739_calculated,59.4347,131.188,20,p,
LINC00493|388789_calculated,49.3609,57.647,20,p,
SNRPB|6628_calculated,48.1066,92.9877,20,p,
CENPB|1059_calculated,45.313,54.6038,20,p,
TMEM230|29058_calculated,36.6558,41.936,20,p,
NOP56|10528_calculated,35.4121,58.798,20,p,
SNRPB2|6629_calculated,34.7959,42.3404,20,p,
IDH3B|3420_calculated,32.3618,47.7803,20,p,
PSMF1|9491_calculated,32.3527,43.5576,20,p,
TMX4|56255_calculated,27.6012,18.1018,20,p,
RBCK1|10616_calculated,27.1527,39.7793,20,p,
CHGB|1114_calculated,25.0479,5.4937,20,p,
NAA20|51126_calculated,24.8543,38.373,20,p,
MRPS26|64949_calculated,24.5775,40.4993,20,p,
C20orf27|54976_calculated,24.3425,21.397,20,p,
ABHD12|26090_calculated,23.0972,41.2353,20,p,
CSNK2A1|1457|1of2_calculated,22.8681,33.0763,20,p,
CD93|22918_calculated,21.1531,11.9633,20,p,
MAVS|57506_calculated,20.8537,17.3016,20,p,
ITPA|3704_calculated,19.9553,35.596,20,p,
CDC25B|994_calculated,18.9359,35.5414,20,p,
SNX5|27131_calculated,18.6886,27.0622,20,p,
