gene,rpkm_normal,rpkm_tumoral,chromosome,p_or_q,locus
UBB|7314_calculated,787.9751,945.1169,17,p,12-
PRPSAP2|5636_calculated,6.0709,7.7681,17,p,12-
TOP3A|7156_calculated,5.7432,6.6612,17,p,12-
PIGL|9487_calculated,2.8087,2.6528,17,p,12-
EIF5A|1984_calculated,77.4619,150.5537,17,p,13-
NTN1|9423_calculated,21.8787,3.8483,17,p,13-
DRG2|1819_calculated,9.8575,11.332,17,p,13-
ASGR1|432_calculated,0.572,1.4013,17,p,13-
MPDU1|9526_calculated,17.4545,32.4693,17,p,13.1-
SHISA6|388336_calculated,0.4783,0.5407,17,p,13.1-
PFN1|5216_calculated,903.9831,1053.5548,17,p,
RPL26|6154_calculated,608.3709,599.2738,17,p,
GABARAP|11337_calculated,283.2637,297.8568,17,p,
MFAP4|4239_calculated,239.9956,60.1484,17,p,
YWHAE|7531_calculated,138.3216,213.5102,17,p,
SERPINF1|5176_calculated,129.2814,56.8943,17,p,
RNASEK|440400_calculated,90.655,98.8917,17,p,
CD68|968_calculated,90.6476,128.6332,17,p,
C17orf49|124944_calculated,81.5396,93.6701,17,p,
TRAPPC1|58485_calculated,80.2823,99.117,17,p,
PMP22|5376_calculated,76.4386,34.3795,17,p,
MYO1C|4641_calculated,72.1815,51.6448,17,p,
EIF4A1|1973_calculated,68.1155,106.3927,17,p,
C1QBP|708_calculated,66.1302,115.7356,17,p,
PSMB6|5694_calculated,66.0472,89.483,17,p,
CXCL16|58191_calculated,59.7333,94.2319,17,p,
PRPF8|10594_calculated,58.2321,55.2555,17,p,
CTDNEP1|23399_calculated,55.3085,66.9844,17,p,
CLDN7|1366_calculated,53.59,116.9024,17,p,
TAX1BP3|30851_calculated,52.9637,66.1691,17,p,
VAMP2|6844_calculated,49.1895,28.5799,17,p,
ACADVL|37_calculated,44.4115,58.2056,17,p,
RNF167|26001_calculated,43.5534,53.113,17,p,
FLII|2314_calculated,42.2225,41.6075,17,p,
USP22|23326_calculated,36.5721,32.4531,17,p,
SNORD49B|692087_calculated,36.1028,63.6441,17,p,
ATP2A3|489_calculated,35.7041,41.0623,17,p,
ZBTB4|57659_calculated,35.279,15.1419,17,p,
ALKBH5|54890_calculated,32.679,27.6022,17,p,
KIF1C|10749_calculated,32.6647,28.6913,17,p,
POLR2A|5430_calculated,29.9548,33.0157,17,p,
OVCA2|124641_calculated,28.8294,38.4418,17,p,
CRK|1398_calculated,26.5989,25.0419,17,p,
NCOR1|9611_calculated,25.7265,22.8124,17,p,
PER1|5187_calculated,24.9201,9.3596,17,p,
PAFAH1B1|5048_calculated,24.5547,18.2178,17,p,
TNFSF12-TNFSF13|407977_calculated,24.4024,24.0426,17,p,
CHD3|1107_calculated,23.7123,14.687,17,p,
PITPNA|5306_calculated,23.4217,23.5828,17,p,
MINK1|50488_calculated,23.3195,29.7319,17,p,
NXN|64359_calculated,22.3693,9.9379,17,p,
