gene,rpkm_normal,rpkm_tumoral,chromosome,p_or_q,locus
TEKT4P2|100132288_calculated,0.8408,0.6922,21,p,
BAGE|574_calculated,0.0327,0.1336,21,p,
TPTE|7179_calculated,0.0258,0.1245,21,p,
LINC00478|388815_calculated,1.5077,0.3001,21,q,11-
MRPL39|54148_calculated,10.7028,15.2871,21,q,11.2-
GABPA|2551_calculated,7.4432,6.1548,21,q,21-
SON|6651_calculated,40.7021,33.8683,21,q,22.1-
RCAN1|1827_calculated,17.2815,11.4388,21,q,22.1-
ITSN1|6453_calculated,6.3744,4.2375,21,q,22.1-
KCNE1|3753_calculated,0.151,0.0878,21,q,22.1-
DSCAM|1826_calculated,0.037,0.0354,21,q,22.2-
TFF1|7031_calculated,452.8751,1831.6808,21,q,
COL6A2|1292_calculated,201.4673,79.0272,21,q,
COL6A1|1291_calculated,200.2774,99.1017,21,q,
APP|351_calculated,181.7091,178.3131,21,q,
TFF2|7032_calculated,164.8127,492.4342,21,q,
CSTB|1476_calculated,159.5007,636.4993,21,q,
SOD1|6647_calculated,113.7916,164.8469,21,q,
TFF3|7033_calculated,91.2716,162.7992,21,q,
ATP5J|522_calculated,86.4425,87.2954,21,q,
PTTG1IP|754_calculated,82.5443,93.6795,21,q,
ETS2|2114_calculated,63.546,67.9914,21,q,
COL18A1|80781_calculated,50.8717,42.7131,21,q,
CCT8|10694_calculated,43.1503,70.4619,21,q,
BACE2|25825_calculated,42.9324,69.8005,21,q,
SUMO3|6612_calculated,38.0886,52.4263,21,q,
ADAMTS1|9510_calculated,35.514,10.2145,21,q,
SIK1|150094_calculated,33.1378,22.4622,21,q,
MX1|4599_calculated,31.8169,37.5713,21,q,
HMGN1|3150_calculated,31.6753,49.9837,21,q,
MRPS6|64968_calculated,31.6155,26.5985,21,q,
IFNGR2|3460_calculated,29.6348,44.4671,21,q,
ITGB2|3689_calculated,25.76,27.5941,21,q,
PFKL|5211_calculated,25.3347,39.4032,21,q,
C21orf33|8209_calculated,22.8356,27.7498,21,q,
DONSON|29980_calculated,21.638,26.7466,21,q,
TMEM50B|757_calculated,18.3311,16.3482,21,q,
TTC3|7267_calculated,18.1654,13.1187,21,q,
JAM2|58494_calculated,17.9059,3.8973,21,q,
CBR1|873_calculated,17.7041,33.3729,21,q,
TMPRSS2|7113_calculated,17.2731,34.9808,21,q,
UBE2G2|7327_calculated,16.5748,13.8593,21,q,
NDUFV3|4731_calculated,16.2595,15.5461,21,q,
IFNAR1|3454_calculated,15.2733,13.1176,21,q,
PSMG1|8624_calculated,14.964,26.7513,21,q,
USP16|10600_calculated,14.9013,12.8394,21,q,
BTG3|10950_calculated,14.5957,19.0489,21,q,
GART|2618_calculated,13.981,19.2111,21,q,
PIGP|51227_calculated,13.5436,13.2719,21,q,
IFNAR2|3455_calculated,13.3139,15.4813,21,q,
SLC37A1|54020_calculated,12.6495,25.6581,21,q,
AGPAT3|56894_calculated,12.3255,15.0161,21,q,
PDXK|8566_calculated,11.8423,16.147,21,q,
PCP4|5121_calculated,11.0599,4.505,21,q,
RUNX1|861_calculated,10.7174,10.7069,21,q,
DYRK1A|1859_calculated,10.5093,8.5962,21,q,
DSCR3|10311_calculated,10.4624,10.8539,21,q,
MCM3AP|8888_calculated,10.1169,10.3468,21,q,
SCAF4|57466_calculated,9.423,9.848,21,q,
LSS|4047_calculated,9.2379,10.4836,21,q,
RRP1B|23076_calculated,9.2287,11.4816,21,q,
U2AF1|7307_calculated,9.1963,10.1804,21,q,
USP25|29761_calculated,9.1296,6.8703,21,q,
PRMT2|3275_calculated,8.8988,6.2539,21,q,
FAM207A|85395_calculated,8.7227,12.592,21,q,
NRIP1|8204_calculated,8.6271,7.1556,21,q,
CYYR1|116159_calculated,8.6161,3.838,21,q,
MORC3|23515_calculated,8.4815,6.9715,21,q,
TRAPPC10|7109_calculated,8.4499,8.0487,21,q,
HSPA13|6782_calculated,8.4326,8.1096,21,q,
SH3BGR|6450_calculated,8.4026,1.465,21,q,
RWDD2B|10069_calculated,8.1861,8.5909,21,q,
CXADR|1525_calculated,8.1509,14.7543,21,q,
S100B|6285_calculated,8.1148,2.4479,21,q,
BACH1|571_calculated,7.6168,7.0593,21,q,
KCNE2|9992_calculated,7.176,15.4118,21,q,
PWP2|5822_calculated,6.9025,9.4399,21,q,
WRB|7485_calculated,6.89,7.0876,21,q,
ABCG1|9619_calculated,6.8781,6.1616,21,q,
ICOSLG|23308_calculated,6.7481,7.5627,21,q,
CLIC6|54102_calculated,6.6694,8.507,21,q,
CRYZL1|9946_calculated,6.5971,4.2995,21,q,
RRP1|8568_calculated,6.4907,11.3748,21,q,
ADARB1|104_calculated,6.4333,2.0258,21,q,
SAMSN1|64092_calculated,6.3751,5.415,21,q,
DOPEY2|9980_calculated,5.9018,7.4712,21,q,
C2CD2|25966_calculated,5.7198,4.1065,21,q,
TMPRSS3|64699_calculated,5.5068,11.042,21,q,
MX2|4600_calculated,5.4847,5.6327,21,q,
CBR3|874_calculated,5.4095,4.5168,21,q,
LTN1|26046_calculated,5.4076,4.3928,21,q,
FAM3B|54097_calculated,5.177,10.7635,21,q,
MIS18A|54069_calculated,5.1549,9.8563,21,q,
LRRC3|81543_calculated,5.0274,2.5296,21,q,
PDE9A|5152_calculated,5.004,2.2173,21,q,
C21orf59|56683_calculated,4.9398,7.1712,21,q,
URB1|9875_calculated,4.8105,5.2356,21,q,
RIPK4|54101_calculated,4.6521,9.2323,21,q,
PCNT|5116_calculated,4.3927,4.189,21,q,
PKNOX1|5316_calculated,4.3365,3.4766,21,q,
POFUT2|23275_calculated,4.2173,3.9531,21,q,
WDR4|10785_calculated,4.1852,6.181,21,q,
C21orf2|755_calculated,3.8604,3.6897,21,q,
DIP2A|23181_calculated,3.8401,3.3669,21,q,
YBEY|54059_calculated,3.7319,4.2384,21,q,
BRWD1|54014_calculated,3.3951,2.7056,21,q,
SLC19A1|6573_calculated,3.352,7.8151,21,q,
HLCS|3141_calculated,3.3037,3.7862,21,q,
ERG|2078_calculated,3.3026,1.5066,21,q,
C21orf91|54149_calculated,3.13,2.2885,21,q,
SYNJ1|8867_calculated,3.1114,2.2497,21,q,
SLC5A3|6526_calculated,3.0181,3.1808,21,q,
C21orf119|84996_calculated,2.8976,3.6964,21,q,
B3GALT5|10317_calculated,2.6157,3.2119,21,q,
CHAF1B|8208_calculated,2.6149,6.4301,21,q,
MCM3AP-AS1|114044_calculated,2.5039,2.6717,21,q,
ADAMTS5|11096_calculated,2.4485,1.2835,21,q,
SIM2|6493_calculated,2.3191,5.4131,21,q,
TMPRSS15|5651_calculated,2.1164,6.6039,21,q,
RSPH1|89765_calculated,2.0222,4.2042,21,q,
KCNJ15|3772_calculated,1.9779,3.8926,21,q,
TRPM2|7226|1of2_calculated,1.8068,3.008,21,q,
MIR155HG|114614_calculated,1.7784,1.2417,21,q,
CBS|875_calculated,1.7742,3.5366,21,q,
PCBP3|54039_calculated,1.7214,0.6819,21,q,
SETD4|54093_calculated,1.7202,1.9492,21,q,
MRAP|56246_calculated,1.653,1.7007,21,q,
N6AMT1|29104_calculated,1.6506,1.5224,21,q,
TIAM1|7074_calculated,1.5416,1.3046,21,q,
TRPM2|7226|2of2_calculated,1.5227,3.7795,21,q,
PRDM15|63977_calculated,1.4328,1.3579,21,q,
CBR3-AS1|100506428_calculated,1.1782,1.4902,21,q,
HUNK|30811_calculated,1.1393,1.4574,21,q,
UBASH3A|53347_calculated,1.139,0.911,21,q,
CHODL|140578_calculated,1.0307,0.1602,21,q,
C21orf58|54058_calculated,0.9166,1.366,21,q,
NCAM2|4685_calculated,0.9002,0.2394,21,q,
C21orf67|84536_calculated,0.8044,0.9346,21,q,
C21orf88|114041_calculated,0.6769,0.3005,21,q,
DNAJC28|54943_calculated,0.6635,0.5208,21,q,
C21orf49|54067_calculated,0.5998,0.2755,21,q,
RBM11|54033_calculated,0.4661,0.3288,21,q,
SSR4P1|728039_calculated,0.4532,0.3212,21,q,
C21orf90|114043_calculated,0.4273,0.9211,21,q,
PLAC4|191585_calculated,0.4047,0.5288,21,q,
RUNX1-IT1|80215_calculated,0.3427,0.1529,21,q,
C21orf62|56245_calculated,0.327,0.0638,21,q,
LCA5L|150082_calculated,0.3063,0.2821,21,q,
HSF2BP|11077_calculated,0.2986,0.6226,21,q,
LINC00515|282566_calculated,0.2938,0.1383,21,q,
LINC00319|284836_calculated,0.2451,0.473,21,q,
CLDN14|23562_calculated,0.2218,0.3391,21,q,
LINC00313|114038_calculated,0.2213,0.1506,21,q,
TSPEAR|54084_calculated,0.2041,0.4321,21,q,
LINC00189|193629_calculated,0.2036,0.161,21,q,
LINC00310|114036_calculated,0.1969,0.0944,21,q,
ERVH48-1|90625_calculated,0.1901,0.1213,21,q,
CYP4F29P|54055_calculated,0.1792,0.5192,21,q,
GRIK1-AS2|100379661_calculated,0.1741,0.0992,21,q,
LINC00163|727699_calculated,0.1673,0.0218,21,q,
LINC00162|378825_calculated,0.1477,0.325,21,q,
GRIK1|2897_calculated,0.1469,0.0694,21,q,
IGSF5|150084_calculated,0.1368,0.096,21,q,
AIRE|326_calculated,0.1161,0.0984,21,q,
LINC00323|284835_calculated,0.1134,0.0976,21,q,
DSCR9|257203_calculated,0.1106,0.1448,21,q,
LINC00114|400866_calculated,0.1045,0.3745,21,q,
LINC00161|118421_calculated,0.102,0.0331,21,q,
LIPI|149998_calculated,0.0912,0.0202,21,q,
DSCR8|84677_calculated,0.0892,1.6322,21,q,
COL18A1-AS1|378832_calculated,0.0819,0.0318,21,q,
