gene,rpkm_normal,rpkm_tumoral,chromosome,p_or_q,locus
CWH43|80157_calculated,0.1207,0.7675,4,p,12-
CORIN|10699_calculated,0.5352,0.3243,4,p,13-
RFC1|5981_calculated,9.4867,9.1845,4,p,14-
CYTL1|54360_calculated,2.5578,1.0104,4,p,16-
KLF3|51274_calculated,21.3517,25.7078,4,p,16.1-
EVC2|132884_calculated,1.197,0.499,4,p,16.2-
STX18|53407_calculated,8.6249,13.3135,4,p,16.3-
SOD3|6649_calculated,181.2719,57.0783,4,p,
S100P|6286_calculated,125.9748,448.0706,4,p,
MRFAP1|93621_calculated,70.3978,68.5354,4,p,
ATP5I|521_calculated,63.3094,89.484,4,p,
WDR1|9948_calculated,51.6339,58.0648,4,p,
OCIAD2|132299_calculated,51.2159,85.8985,4,p,
LAP3|51056_calculated,41.0411,56.4754,4,p,
CTBP1|1487_calculated,33.642,41.5649,4,p,
SEL1L3|23231_calculated,32.3645,46.9032,4,p,
ADD1|118_calculated,29.9033,19.0762,4,p,
OCIAD1|54940_calculated,28.7425,31.7716,4,p,
HTRA3|94031_calculated,28.7408,21.4932,4,p,
FBXL5|26234_calculated,27.6909,18.1862,4,p,
WFS1|7466_calculated,27.5982,17.2687,4,p,
RBM47|54502_calculated,27.4862,47.751,4,p,
MXD4|10608_calculated,23.5644,18.137,4,p,
MFSD10|10227_calculated,22.4395,35.7112,4,p,
MRFAP1L1|114932_calculated,22.1966,23.5991,4,p,
SLBP|7884_calculated,21.7116,37.4598,4,p,
TBC1D1|23216_calculated,21.1223,9.9149,4,p,
FAM114A1|92689_calculated,20.1368,15.5175,4,p,
GAK|2580_calculated,18.9544,27.8299,4,p,
MAEA|10296_calculated,17.8495,24.4034,4,p,
AFAP1|60312_calculated,17.1804,9.6206,4,p,
UGDH|7358_calculated,16.7912,22.5943,4,p,
RBPJ|3516_calculated,16.7599,13.8197,4,p,
PDS5A|23244_calculated,16.2348,18.9533,4,p,
UBE2K|3093_calculated,15.7496,18.5564,4,p,
DHX15|1665_calculated,15.6429,22.3057,4,p,
TMEM129|92305_calculated,15.5661,16.5229,4,p,
RNF4|6047_calculated,15.5306,17.9812,4,p,
SLC30A9|10463_calculated,15.4221,17.6619,4,p,
MED28|80306_calculated,14.4089,15.3457,4,p,
PCDH7|5099_calculated,14.3401,5.0055,4,p,
TNIP2|79155_calculated,13.5374,17.6427,4,p,
KLHL5|51088_calculated,13.3751,4.9549,4,p,
C4orf48|401115_calculated,12.3798,20.3213,4,p,
MAN2B2|23324_calculated,11.6929,10.7096,4,p,
TBC1D14|57533_calculated,11.5631,12.3179,4,p,
LYAR|55646_calculated,11.5374,18.066,4,p,
SLAIN2|57606_calculated,11.4966,8.2549,4,p,
UCHL1|7345_calculated,11.3341,5.2545,4,p,
RPL9|6133|3of3_calculated,11.2458,12.327,4,p,
PROM1|8842_calculated,11.0326,22.5353,4,p,
FGFRL1|53834_calculated,11.0244,21.4216,4,p,
NOP14|8602_calculated,10.9868,16.4183,4,p,
COMMD8|54951_calculated,10.4673,13.6498,4,p,
RELL1|768211_calculated,10.4505,9.35,4,p,
SPON2|10417_calculated,10.0851,8.6329,4,p,
QDPR|5860_calculated,9.4382,11.4242,4,p,
HS3ST1|9957_calculated,9.4059,18.7384,4,p,
TMEM33|55161_calculated,9.3872,14.0968,4,p,
DCAF16|54876_calculated,9.2831,8.603,4,p,
LRPAP1|4043_calculated,9.1977,11.0004,4,p,
CPZ|8532_calculated,9.0123,4.28,4,p,
TACC3|10460_calculated,8.8194,19.8656,4,p,
PGM2|55276_calculated,8.7014,11.2033,4,p,
IDUA|3425_calculated,8.646,8.7362,4,p,
APBB2|323_calculated,8.628,5.3679,4,p,
EVC|2121_calculated,8.562,2.6825,4,p,
SHISA3|152573_calculated,8.4284,1.6822,4,p,
KIAA0232|9778_calculated,8.2317,5.9404,4,p,
HTT|3064_calculated,8.0452,8.4348,4,p,
SLIT2|9353_calculated,7.9988,1.381,4,p,
MYL5|4636_calculated,7.9983,11.5106,4,p,
GUF1|60558_calculated,7.985,10.5694,4,p,
BOD1L1|259282_calculated,7.9315,5.4033,4,p,
PCGF3|10336_calculated,7.6544,7.5466,4,p,
TMEM175|84286_calculated,7.2022,7.2247,4,p,
LDB2|9079_calculated,7.1027,3.2703,4,p,
RAB28|9364_calculated,7.0288,6.7859,4,p,
GRPEL1|80273_calculated,6.9539,11.8602,4,p,
TADA2B|93624_calculated,6.9477,6.2156,4,p,
LETM1|3954_calculated,6.888,10.8988,4,p,
FAM193A|8603_calculated,6.6135,5.7952,4,p,
ACOX3|8310_calculated,6.3527,6.8408,4,p,
STIM2|57620_calculated,6.0329,6.0754,4,p,
DGKQ|1609_calculated,5.8078,7.9871,4,p,
RHOH|399_calculated,5.7466,4.0088,4,p,
PI4K2B|55300_calculated,5.7408,9.0765,4,p,
CPEB2|132864_calculated,5.5839,3.8447,4,p,
LGI2|55203_calculated,5.5506,1.271,4,p,
CD38|952_calculated,5.4756,5.4812,4,p,
AFAP1-AS1|84740_calculated,5.3913,8.7993,4,p,
SH3BP2|6452_calculated,5.2398,5.3763,4,p,
ATP8A1|10396_calculated,5.0109,3.4379,4,p,
BST1|683_calculated,4.9766,4.1881,4,p,
PIGG|54872_calculated,4.7337,6.2975,4,p,
ANAPC4|29945_calculated,4.7141,4.3874,4,p,
C4orf19|55286_calculated,4.6041,9.2426,4,p,
CC2D2A|57545_calculated,4.5645,1.3199,4,p,
FRYL|285527_calculated,4.5596,4.0557,4,p,
TAPT1|202018_calculated,4.5259,3.7898,4,p,
