gene,rpkm_normal,rpkm_tumoral,chromosome,p_or_q,locus
CEBPD|1052_calculated,182.3074,107.4787,8,p,11.2-
DKK4|27121_calculated,1.0619,2.7022,8,p,11.2-
FGFR1|2260_calculated,21.1373,6.8623,8,p,11.23-
DCTN6|10671_calculated,26.7191,26.1105,8,p,12-
IDO1|3620_calculated,17.7801,33.3933,8,p,12-
DUSP4|1846_calculated,9.4445,17.5736,8,p,12-
POLB|5423_calculated,6.4494,10.7262,8,p,12-
UBXN8|7993_calculated,3.815,5.1957,8,p,12-
C8orf86|389649_calculated,0.0248,0.0104,8,p,12-
CLU|1191_calculated,183.0688,90.7592,8,p,21-
GNRH1|2796_calculated,0.5818,0.4176,8,p,21-
NRG1|3084_calculated,0.4672,0.482,8,p,21-
DPYSL2|1808_calculated,33.8115,19.8553,8,p,22-
PCM1|5108_calculated,17.272,12.0924,8,p,22-
CNOT7|29883_calculated,14.9842,15.4562,8,p,22-
STC1|6781_calculated,14.4803,10.3102,8,p,22-
EXTL3|2137_calculated,13.005,9.163,8,p,22-
TNFRSF10B|8795_calculated,12.5866,17.8625,8,p,22-
PDGFRL|5157_calculated,6.2178,2.0049,8,p,22-
TNFRSF10C|8794_calculated,1.7778,1.8898,8,p,22-
EGR3|1960_calculated,7.1099,2.8889,8,p,23-
FAM167A|83648_calculated,6.0758,1.7488,8,p,23-
MTMR9|66036_calculated,4.5248,2.4108,8,p,23-
BLK|640_calculated,3.0516,0.9316,8,p,23-
FDFT1|2222_calculated,39.4358,47.6909,8,p,23.1-
GATA4|2626_calculated,27.1509,31.0392,8,p,23.1-
CTSB|1508_calculated,198.511,203.5371,8,p,
ZNF703|80139_calculated,67.136,57.5322,8,p,
ASAH1|427_calculated,53.8138,51.694,8,p,
RBPMS|11030_calculated,52.4191,15.1143,8,p,
PPP2CB|5516_calculated,44.1809,44.2233,8,p,
SLC39A14|23516_calculated,39.2345,52.1851,8,p,
EIF4EBP1|1978_calculated,36.9459,80.518,8,p,
SORBS3|10174_calculated,33.526,24.5834,8,p,
TACC1|6867_calculated,32.9058,12.4388,8,p,
VDAC3|7419_calculated,31.6138,45.5816,8,p,
AZIN1|51582_calculated,30.3558,41.2122,8,p,
GOLGA7|51125_calculated,29.207,30.3051,8,p,
GPR124|25960_calculated,29.1451,12.4525,8,p,
PLAT|5327_calculated,28.2293,22.4503,8,p,
ADAM9|8754_calculated,27.2832,40.7552,8,p,
CLDN23|137075_calculated,26.1161,19.0726,8,p,
SFRP1|6422_calculated,24.573,2.921,8,p,
PROSC|11212_calculated,23.9402,28.9674,8,p,
BNIP3L|665_calculated,22.5741,20.1399,8,p,
HGSNAT|138050_calculated,22.4467,18.4624,8,p,
C8orf4|56892_calculated,21.1037,22.8159,8,p,
GSR|2936_calculated,20.814,33.9493,8,p,
MTUS1|57509_calculated,19.6425,16.8765,8,p,
LSM1|27257_calculated,19.4615,25.2602,8,p,
SLC7A2|6542_calculated,18.6523,2.5985,8,p,
LOXL2|4017_calculated,18.0026,20.4693,8,p,
XPO7|23039_calculated,17.299,19.9714,8,p,
SCARA3|51435_calculated,17.1304,5.3048,8,p,
ATP6V1B2|526_calculated,16.0808,19.1807,8,p,
ASH2L|9070_calculated,15.9685,17.1588,8,p,
INTS10|55174_calculated,15.8098,21.2624,8,p,
RAB11FIP1|80223_calculated,15.5138,24.6579,8,p,
GTF2E2|2961_calculated,15.1365,22.7894,8,p,
PLEKHA2|59339_calculated,15.0613,9.7101,8,p,
MFHAS1|9258_calculated,14.8389,12.4346,8,p,
LEPROTL1|23484_calculated,14.2407,17.4072,8,p,
FGL1|2267_calculated,13.4986,0.4839,8,p,
CHMP7|91782_calculated,12.6828,11.9322,8,p,
PPAPDC1B|84513_calculated,12.6172,16.7756,8,p,
SLC20A2|6575_calculated,12.2884,11.0518,8,p,
FNTA|2339_calculated,12.0174,13.2592,8,p,
DLC1|10395_calculated,11.9723,3.8587,8,p,
ZNF395|55893_calculated,11.7768,10.6673,8,p,
REEP4|80346_calculated,11.221,23.257,8,p,
HOOK3|84376_calculated,11.2066,5.4027,8,p,
FAM160B2|64760_calculated,11.0636,8.9567,8,p,
KAT6A|7994_calculated,10.9419,10.0323,8,p,
DEFA5|1670_calculated,10.8141,122.1071,8,p,
VPS37A|137492_calculated,10.43,8.4946,8,p,
R3HCC1|203069_calculated,10.3791,10.2862,8,p,
CCDC25|55246_calculated,10.3432,11.33,8,p,
KIF13B|23303_calculated,9.9742,11.2763,8,p,
ATP6V1C1|528_calculated,9.7648,12.1562,8,p,
EPHX2|2053_calculated,9.683,12.1574,8,p,
ZDHHC2|51201_calculated,9.6391,6.8103,8,p,
HR|55806_calculated,9.5561,12.9989,8,p,
AGPAT6|137964_calculated,9.4986,11.5869,8,p,
PPP1R3B|79660_calculated,9.3945,7.7505,8,p,
PTK2B|2185_calculated,9.372,10.2369,8,p,
BMP1|649_calculated,9.369,9.7999,8,p,
NEIL2|252969_calculated,9.1563,6.9841,8,p,
