gene,rpkm_normal,rpkm_tumoral,chromosome,p_or_q,locus
NDN|4692_calculated,25.3918,7.0707,15,q,11-
APBA2|321_calculated,1.1503,1.0393,15,q,11-
MAGEL2|54551_calculated,0.4291,0.2101,15,q,11-
MKRN3|7681_calculated,0.1182,0.3248,15,q,11-
HERC2P7|100132101|2of2_calculated,0.0303,0.0186,15,q,11-
HERC2P7|100132101|1of2_calculated,0.0095,0.0089,15,q,11-
RASL12|51285_calculated,11.5447,3.9115,15,q,11.2-
PPP1R14D|54866_calculated,5.5727,12.6767,15,q,11.2-
NDUFAF1|51103_calculated,5.3237,5.7913,15,q,11.2-
JMJD7-PLA2G4B|8681_calculated,2.2333,2.1214,15,q,11.2-
SPG11|80208_calculated,10.0406,9.1443,15,q,13-
SCG5|6447_calculated,5.2845,3.4056,15,q,13-
FAN1|22909_calculated,5.3034,4.4799,15,q,13.2-
NOP10|55505_calculated,86.2915,125.6473,15,q,14-
IVD|3712_calculated,12.738,13.182,15,q,14-
VPS18|57617_calculated,9.3821,9.1311,15,q,14-
CCNDBP1|23582_calculated,8.4483,8.5786,15,q,14-
GPR176|11245_calculated,2.3921,1.7201,15,q,14-
RYR3|6263_calculated,0.8167,0.0765,15,q,14-
RAB27A|5873_calculated,13.7855,12.8574,15,q,15-
MFAP1|4236_calculated,12.2868,14.2318,15,q,15-
TRIM69|140691_calculated,11.156,10.5944,15,q,15-
SORD|6652_calculated,7.4825,16.9372,15,q,15-
TP53BP1|7158_calculated,6.5779,5.5829,15,q,15-
TLN2|83660_calculated,3.3752,3.6178,15,q,15-
SLC12A1|6557_calculated,0.0229,0.0063,15,q,15-
EPB42|2038_calculated,0.0226,0.0111,15,q,15-
TYRO3|7301_calculated,3.8709,5.3238,15,q,15.1-
LTK|4058_calculated,1.1279,2.1846,15,q,15.1-
DUOX2|50506_calculated,15.8516,27.9337,15,q,15.3-
CTDSPL2|51496_calculated,7.5846,6.8809,15,q,15.3-
B2M|567_calculated,1475.2502,1849.2798,15,q,21-
PPIB|5479_calculated,129.9639,204.7619,15,q,21-
SPG21|51324_calculated,37.265,44.6237,15,q,21-
MYO1E|4643_calculated,19.3413,25.2238,15,q,21-
SMAD3|4088_calculated,12.8325,13.6193,15,q,21-
SMAD6|4091_calculated,6.8214,9.4342,15,q,21-
RORA|6095_calculated,2.7392,1.2489,15,q,21-
LIPC|3990_calculated,0.7184,1.3704,15,q,21-
TMOD3|29766_calculated,17.5319,21.9055,15,q,21.1-
GALK2|2585_calculated,4.3782,5.9379,15,q,21.1-
SHC4|399694_calculated,0.5661,0.1832,15,q,21.1-
FAM214A|56204_calculated,7.0887,4.7812,15,q,21.2-
UACA|55075_calculated,11.4893,8.4194,15,q,22-
MYO9A|4649_calculated,3.0522,1.352,15,q,22-
MAP2K1|5604_calculated,17.8592,21.7719,15,q,22.1-
CSNK1G1|53944_calculated,3.0159,3.3884,15,q,22.1-
NEO1|4756_calculated,15.5512,14.0552,15,q,22.3-
ITGA11|22801_calculated,9.5607,9.1996,15,q,22.3-
SEMA7A|8482_calculated,5.1187,5.7893,15,q,22.3-
BBS4|585_calculated,4.1729,3.5295,15,q,22.3-
IGDCC3|9543_calculated,0.1386,0.3904,15,q,22.3-
RCN2|5955_calculated,25.2361,30.9066,15,q,22.33-
AAGAB|79719_calculated,11.464,16.511,15,q,22.33-
