gene,rpkm_normal,rpkm_tumoral,chromosome,p_or_q,locus
VAMP8|8673_calculated,63.4204,125.2726,2,p,12-
CNNM3|26505_calculated,12.5804,15.3461,2,p,12-
CTNNA2|1496_calculated,0.2236,0.2927,2,p,12-
SFTPB|6439_calculated,0.1523,0.1896,2,p,12-
PCBP1|5093_calculated,175.8434,209.154,2,p,13-
C1D|10438_calculated,11.8693,12.9813,2,p,13-
MXD1|4084_calculated,11.7368,16.9353,2,p,13-
REL|5966_calculated,5.1856,3.9809,2,p,13-
TACR1|6869_calculated,0.7376,0.3975,2,p,13.1-
RTN4|57142|1of2_calculated,106.8382,69.6239,2,p,14-
RTN4|57142|2of2_calculated,58.3319,39.2639,2,p,14-
UGP2|7360_calculated,33.7809,31.5197,2,p,14-
SPR|6697_calculated,17.8282,32.6131,2,p,14-
NFU1|27247_calculated,21.6145,19.9451,2,p,15-
SLC1A4|6509_calculated,6.3341,8.799,2,p,15-
VPS54|51542_calculated,4.5193,4.8656,2,p,15-
USP34|9736_calculated,14.1366,10.0993,2,p,16.1-
EPAS1|2034_calculated,60.0518,39.2743,2,p,21-
PIGF|5281_calculated,16.106,17.3004,2,p,21-
FSHR|2492_calculated,0.0137,0.0047,2,p,21-
CALM2|805_calculated,318.5772,289.7567,2,p,21.3-
LTBP1|4052_calculated,40.2446,12.5291,2,p,22-
PUM2|23369_calculated,24.6698,21.9457,2,p,22-
EIF2AK2|5610_calculated,14.6597,13.2487,2,p,22-
CAD|790_calculated,10.6367,13.6652,2,p,22-
MEMO1|51072_calculated,7.2573,9.4621,2,p,22-
FOXN2|3344_calculated,5.5579,5.9683,2,p,22-
CAPN13|92291_calculated,1.4044,1.8094,2,p,22-
NLRC4|58484_calculated,0.5849,0.5307,2,p,22-
ZFP36L2|678_calculated,165.9166,155.9443,2,p,22.3-
SNX17|9784_calculated,38.1994,39.6754,2,p,23-
UCN|7349_calculated,0.7903,0.8288,2,p,23-
CAPN14|440854_calculated,0.158,2.6366,2,p,23.1-
EMILIN1|11117_calculated,86.4508,30.5522,2,p,23.3-
MAPRE3|22924_calculated,5.9372,4.7381,2,p,23.3-
KHK|3795_calculated,3.8836,7.68,2,p,23.3-
SPAST|6683_calculated,4.9891,5.5059,2,p,24-
APOB|338_calculated,4.0814,12.7786,2,p,24-
MATN3|4148_calculated,3.1774,2.5447,2,p,24-
ATAD2B|54454_calculated,2.1836,1.9513,2,p,24.1-
TPRKB|51002_calculated,17.9122,24.6659,2,p,24.3-
NAGK|55577_calculated,13.4373,13.0904,2,p,24.3-
MRPL44|65080_calculated,11.2238,17.6369,2,p,24.3-
STAMBP|10617_calculated,6.0968,7.4486,2,p,24.3-
TTLL4|9654_calculated,4.9318,8.2617,2,p,24.3-
RRM2|6241_calculated,10.6193,30.9351,2,p,25-
DYNC2LI1|51626_calculated,2.9252,3.2542,2,p,25.1-
RASGRP3|25780_calculated,2.5754,2.0527,2,p,25.1-
YWHAQ|10971_calculated,126.9123,136.5381,2,p,25.2-
ACTG2|72_calculated,2169.1035,136.9224,2,p,
TMSB10|9168_calculated,1142.2601,1949.8254,2,p,
REG1A|5967_calculated,470.6644,785.9879,2,p,
RHOB|388_calculated,409.1106,126.1811,2,p,
GKN1|56287_calculated,374.3525,1564.063,2,p,
OST4|100128731_calculated,370.8864,457.7049,2,p,
RPS27A|6233_calculated,193.7601,195.3572,2,p,
EPCAM|4072_calculated,160.4261,331.1877,2,p,
LAPTM4A|9741_calculated,157.7888,126.7921,2,p,
CCT7|10574_calculated,71.961,109.4544,2,p,
