gene,rpkm_normal,rpkm_tumoral,chromosome,p_or_q,locus
RNF40|9810_calculated,13.3605,17.6689,16,p,11.2-
ARL6IP1|23204_calculated,79.3528,137.3877,16,p,12-
GDE1|51573_calculated,34.6593,36.3648,16,p,12-
STX1B|112755_calculated,0.5883,0.2495,16,p,12-
IL4R|3566_calculated,24.7197,19.316,16,p,12.1-
KIAA0556|23247_calculated,4.1813,4.1411,16,p,12.1-
ARHGAP17|55114_calculated,8.4416,7.8276,16,p,12.2-
SCNN1B|6338_calculated,0.9031,3.8987,16,p,12.2-
ZC3H7A|29066_calculated,10.0504,7.7152,16,p,13-
CDR2|1039_calculated,12.7155,12.2366,16,p,13.1-
ITGAL|3683_calculated,9.0762,6.1045,16,p,13.1-
PLA2G10|8399_calculated,4.4065,6.3933,16,p,13.1-
ITGAD|3681_calculated,0.2215,0.0927,16,p,13.1-
SNX29|92017_calculated,6.1017,3.3807,16,p,13.13-
LITAF|9516_calculated,56.5206,53.4584,16,p,13.3-
GFER|2671_calculated,6.9344,9.4998,16,p,13.3-
MYH11|4629_calculated,1181.7274,65.4523,16,p,
RPS2|6187_calculated,271.7588,423.4898,16,p,
ALDOA|226_calculated,225.7388,370.5359,16,p,
ATP6V0C|527_calculated,166.9262,262.7301,16,p,
RPS15A|6210_calculated,162.3135,157.7926,16,p,
TCEB2|6923_calculated,137.057,181.1984,16,p,
NDE1|54820_calculated,135.397,12.8242,16,p,
TGFB1I1|7041_calculated,124.96,25.5331,16,p,
SRRM2|23524_calculated,107.5731,88.4551,16,p,
NDUFB10|4716_calculated,72.8338,83.4385,16,p,
MVP|9961_calculated,71.3872,100.8527,16,p,
NDUFAB1|4706_calculated,70.5009,91.9523,16,p,
NUPR1|26471_calculated,67.6329,50.8815,16,p,
NME4|4833_calculated,64.8262,42.2126,16,p,
IL32|9235_calculated,55.0389,102.274,16,p,
TUFM|7284_calculated,55.013,95.0685,16,p,
JMJD8|339123_calculated,54.5618,56.5555,16,p,
VKORC1|79001_calculated,53.8905,54.8623,16,p,
HCFC1R1|54985_calculated,53.5754,43.1661,16,p,
STUB1|10273_calculated,52.205,58.9497,16,p,
PRSS8|5652_calculated,51.3587,124.7918,16,p,
SEPHS2|22928_calculated,50.9316,80.3559,16,p,
TMEM219|124446_calculated,49.7517,61.0974,16,p,
BCL7C|9274_calculated,49.643,50.3731,16,p,
PPP4C|5531_calculated,49.51,88.7561,16,p,
UQCRC2|7385_calculated,49.4773,60.4828,16,p,
TNFRSF12A|51330_calculated,47.8929,76.8397,16,p,
PYCARD|29108_calculated,45.7714,70.1151,16,p,
MRPS34|65993_calculated,43.4909,71.8813,16,p,
MAPK3|5595_calculated,40.5227,58.0806,16,p,
CDIPT|10423_calculated,40.2969,38.5918,16,p,
RNPS1|10921_calculated,38.6974,49.4478,16,p,
ITFG3|83986_calculated,38.6365,34.1242,16,p,
MAZ|4150_calculated,38.4154,58.4192,16,p,
GLYR1|84656_calculated,37.0971,30.8936,16,p,
TPSAB1|7177_calculated,37.0556,25.9109,16,p,
ATXN2L|11273_calculated,36.3533,49.1036,16,p,
GNPTG|84572_calculated,34.9863,39.5146,16,p,
C16orf13|84326_calculated,34.3766,48.6542,16,p,
HBA2|3040_calculated,34.0198,24.063,16,p,
SLC9A3R2|9351_calculated,32.9533,34.0046,16,p,
ECI1|1632_calculated,32.4242,48.2678,16,p,
DCTPP1|79077_calculated,31.7758,59.028,16,p,
TRAF7|84231_calculated,31.6655,43.7604,16,p,
MSLN|10232_calculated,30.8656,50.2954,16,p,
FBRS|64319_calculated,30.1825,31.8697,16,p,
FUS|2521_calculated,29.4532,33.5126,16,p,
MRPL28|10573_calculated,29.1549,39.0063,16,p,
RSL1D1|26156_calculated,29.0114,33.992,16,p,
EMP2|2013_calculated,28.6918,25.2113,16,p,
CACNA1H|8912_calculated,28.3551,4.9673,16,p,
TBC1D24|57465_calculated,28.2396,42.3297,16,p,
ZG16B|124220_calculated,27.3825,37.0922,16,p,
TRAP1|10131_calculated,26.3032,44.8307,16,p,
METTL9|51108_calculated,26.1412,28.3839,16,p,
NTAN1|123803_calculated,25.8857,21.0177,16,p,
BCKDK|10295_calculated,24.1866,28.827,16,p,
NSMCE1|197370_calculated,24.0093,22.9583,16,p,
NAA60|79903_calculated,23.8526,28.4065,16,p,
MSRB1|51734_calculated,23.6328,27.4901,16,p,
DEXI|28955_calculated,23.0253,17.3632,16,p,
PDXDC1|23042_calculated,22.834,30.4927,16,p,
CREBBP|1387_calculated,22.7356,15.8114,16,p,
NUBP2|10101_calculated,21.9025,29.8898,16,p,
XPO6|23214_calculated,21.6532,25.6016,16,p,
TMEM8A|58986_calculated,21.5773,37.4846,16,p,
YPEL3|83719_calculated,21.217,18.0007,16,p,
GSPT1|2935_calculated,20.8009,22.2208,16,p,
USP7|7874_calculated,20.4568,21.8764,16,p,
HN1L|90861_calculated,20.3404,30.0771,16,p,
UBE2I|7329_calculated,20.0989,21.5346,16,p,
TMC5|79838_calculated,19.939,31.0579,16,p,
MGRN1|23295_calculated,19.0915,19.3259,16,p,
C16orf45|89927_calculated,19.0418,5.6847,16,p,
MPG|4350_calculated,18.9645,23.9232,16,p,
GPRC5B|51704_calculated,18.6616,25.7638,16,p,
GLIS2|84662_calculated,18.6493,10.4245,16,p,
SRCAP|10847_calculated,18.0978,19.4846,16,p,
PRR14|78994_calculated,17.9229,18.6415,16,p,
NUBP1|4682_calculated,17.7034,20.8397,16,p,
HBA1|3039_calculated,17.555,13.8619,16,p,
TXNDC11|51061_calculated,17.4834,24.0428,16,p,
SEZ6L2|26470_calculated,17.248,31.3456,16,p,
FAM195A|84331_calculated,17.2069,32.0442,16,p,
CORO1A|11151_calculated,17.1724,15.6582,16,p,
PKD1|5310_calculated,17.1489,5.8305,16,p,
STX4|6810_calculated,16.9261,18.5446,16,p,
ABCC1|4363_calculated,16.8794,14.2403,16,p,
HSD3B7|80270_calculated,16.8201,26.7216,16,p,
KIAA0430|9665_calculated,16.8011,9.5966,16,p,
ZNF598|90850_calculated,16.7193,22.8775,16,p,
PRSS53|339105_calculated,16.5938,16.8742,16,p,
NMRAL1|57407_calculated,16.4902,23.6316,16,p,
DNAJA3|9093_calculated,16.3103,23.7895,16,p,
GTF3C1|2975_calculated,16.2954,15.9654,16,p,
BFAR|51283_calculated,16.128,19.5221,16,p,
FLYWCH2|114984_calculated,16.0919,16.0504,16,p,
C16orf72|29035_calculated,15.9674,13.1846,16,p,
ITPRIPL2|162073_calculated,15.9448,12.4949,16,p,
CLCN7|1186_calculated,15.8655,17.6492,16,p,
TSC2|7249_calculated,15.8215,12.7515,16,p,
CCDC101|112869_calculated,15.7063,13.6012,16,p,
